episode,reward,steps,completed_lap,collisions,epsilon
136,6806.8367779540295,2451,1,37,0.6645712209847792
137,6944.539331054628,2500,0,41,0.6625775073218249
138,5175.194146270747,1574,1,19,0.6605897747998594
139,6877.253564147883,2351,1,34,0.6586080054754598
140,4019.60946172716,1278,1,15,0.6566321814590335
141,6620.767853918029,2068,1,32,0.6546622849146564
142,3648.049553737653,847,1,8,0.6526982980599124
143,7376.547814941327,2500,0,40,0.6507402031657327
144,6273.473471069266,2500,0,38,0.6487879825562355
145,6727.248028564378,2500,0,38,0.6468416186085668
146,3882.899359445588,1181,1,14,0.6449010937527411
147,7134.3681329345045,2242,1,32,0.6429663904714829
148,3528.9014918899657,997,1,11,0.6410374913000684
149,5575.943096256225,1785,1,24,0.6391143788261682
150,5315.226693601596,1464,1,18,0.6371970356896897
151,3746.2469813728508,1198,1,13,0.6352854445826206
152,7774.667428588802,2500,0,37,0.6333795882488727
153,7443.817596435456,2500,0,41,0.6314794494841262
154,2655.146422557836,766,1,8,0.6295850111356738
155,6740.857138061442,2500,0,40,0.6276962561022668
156,6710.079400443976,2055,1,29,0.62581316733396
157,3535.7320385360804,883,1,11,0.623935727831958
158,6323.902298431369,1906,1,26,0.6220639206484622
159,6941.60857238761,2500,0,42,0.6201977288865168
160,7560.742692222514,2443,1,37,0.6183371356998573
161,7632.605865478423,2500,0,41,0.6164821242927577
162,7057.681270446715,2478,1,38,0.6146326779198794
163,4708.096106390959,1426,1,18,0.6127887798861198
164,5624.616906413994,1927,1,28,0.6109504135464614
165,5642.233781127909,1776,1,22,0.609117562305822
166,7579.388861083882,2500,0,40,0.6072902096189046
167,7911.971356201091,2500,0,41,0.6054683389900478
168,3878.736939649596,1131,1,14,0.6036519339730777
169,3351.246027221689,838,1,10,0.6018409781711584
170,3572.410560836801,863,1,8,0.6000354552366449
171,7446.391580200101,2500,0,41,0.598235348870935
172,6412.873581695509,2120,1,31,0.5964406428243222
173,4935.896321449275,1587,1,22,0.5946513208958493
174,5342.208405628184,1578,1,24,0.5928673669331617
175,4018.272779598257,1113,1,13,0.5910887648323622
176,5353.80997314452,1685,1,23,0.5893154985378651
177,6018.519666976903,1824,1,27,0.5875475520422515
178,7505.636679077069,2500,0,40,0.5857849093861247
179,7751.233897876642,2315,1,35,0.5840275546579663
180,3265.8804259109643,876,1,10,0.5822754719939924
181,6885.864962463317,2106,1,31,0.5805286455780104
182,8413.50516052234,2500,0,42,0.5787870596412764
183,6204.539673690743,1966,1,28,0.5770506984623526
184,7639.664746093647,2500,0,43,0.5753195463669655
185,3742.1832025766457,950,1,12,0.5735935877278646
186,7154.293423042231,2262,1,34,0.571872806964681
187,6177.39646232602,1816,1,26,0.5701571885437869
188,6392.769150352438,2030,1,30,0.5684467169781556
189,7715.962222289937,2500,0,43,0.5667413768272211
190,6531.872692184419,1931,1,29,0.5650411526967395
191,5133.104448347089,1416,1,21,0.5633460292386493
192,4660.406338500986,1455,1,18,0.5616559911509333
193,7707.914599609269,2500,0,43,0.5599710231774805
194,7860.4360473631805,2500,0,38,0.5582911101079481
195,6002.149173183396,1884,1,29,0.5566162367776242
196,4516.511141500489,1417,1,19,0.5549463880672914
197,3993.0409158516013,1051,1,13,0.5532815489030894
198,5436.582592887871,1484,1,20,0.5516217042563801
199,7818.600427246021,2500,0,40,0.549966839143611
200,4662.459519653331,1271,1,16,0.5483169386261801
201,5879.969788665751,1854,1,28,0.5466719878103016
202,5866.52335830686,1817,1,26,0.5450319718468707
203,3731.2215165329144,979,1,10,0.5433968759313301
204,3811.761179542552,1030,1,11,0.5417666853035361
205,4703.447097682956,1305,1,17,0.5401413852476254
206,5190.448097362524,1503,1,18,0.5385209610918825
207,4340.306578946131,1220,1,16,0.5369053982086068
208,3413.50014425279,882,1,9,0.535294682013981
209,4120.035283584609,1064,1,13,0.5336887979679391
210,8109.513040161032,2500,0,43,0.5320877315740353
211,3165.4990119552685,907,1,12,0.5304914683793133
212,4613.808386213791,1314,1,19,0.5288999939741753
213,6254.166683807343,1838,1,24,0.5273132939922528
214,5756.700745029433,1624,1,23,0.525731354110276
215,7442.771557941357,2133,1,30,0.5241541600479452
216,5828.826396274535,1670,1,23,0.5225816975678014
217,4426.056696414954,1165,1,15,0.521013952475098
218,8289.637121581936,2500,0,44,0.5194509106176727
219,3674.3406353759897,1016,1,13,0.5178925578858197
220,5415.898780794131,1504,1,21,0.5163388802121622
221,6563.734458155579,1969,1,29,0.5147898635715258
222,4165.930002784742,1045,1,12,0.5132454939808112
223,7304.444821166913,2500,0,44,0.5117057574988688
224,7257.054920539786,2342,1,39,0.5101706402263723
225,3715.3360135746166,1019,1,12,0.5086401283056932
226,5092.106794624331,1436,1,20,0.5071142079207761
227,4428.928547458665,1271,1,16,0.5055928652970137
228,3997.494678306589,1140,1,14,0.5040760867011227
229,8400.297329063316,2294,1,34,0.5025638584410194
230,5044.643336830129,1462,1,21,0.5010561668656963
231,7566.206796264571,2500,0,39,0.49955299836509925
232,6905.1209605407175,1859,1,29,0.49805433937000393
233,5019.0740982913985,1428,1,20,0.4965601763518939
234,6418.33139381405,1930,1,29,0.49507049582283824
235,5810.512594528174,1664,1,24,0.49358528433536975
236,8274.241806030195,2500,0,37,0.49210452848236363
237,3826.3089429474003,902,1,9,0.49062821489691655
238,8292.669439697162,2500,0,43,0.4891563302522258
239,5938.524632396663,1828,1,29,0.48768886126146915
240,5632.600756816845,1496,1,21,0.48622579467768473
241,4230.785288429274,1115,1,14,0.4847671172936517
242,8803.000869750884,2500,0,43,0.4833128159417707
243,4403.294088325524,1252,1,16,0.4818628774939454
244,4252.705758171097,1071,1,13,0.48041728886146357
245,5388.250013887872,1400,1,19,0.4789760369948792
246,5957.092473144511,1644,1,21,0.47753910888389456
247,4738.874213256837,1153,1,14,0.4761064915572429
248,4833.293411254889,1390,1,19,0.4746781720825711
249,4177.831724853532,1139,1,16,0.4732541375663234
250,6077.467151093614,1708,1,23,0.4718343751536244
251,5047.830795421596,1358,1,18,0.47041887202816357
252,4349.122078876514,1126,1,14,0.4690076154120791
253,4321.227754364027,1122,1,14,0.46760059256584285
254,4865.595881938944,1310,1,19,0.4661977907881453
255,3294.7360185933208,779,1,7,0.4647991974157809
256,3842.6805398559663,922,1,9,0.46340479982353355
257,4502.763021144878,1297,1,17,0.46201458542406293
258,5762.298954544045,1527,1,21,0.4606285416677907
259,6574.3125104379305,1749,1,25,0.45924665604278736
260,4452.640444812791,1117,1,14,0.457868916074659
261,4808.841795997623,1236,1,18,0.45649530932643506
