episode,reward,steps,laps,collisions,speed
281,3487.8567641449063,499,1,12,0.0
282,3522.58176208497,532,1,12,65.43952862284583
283,5212.747247352601,828,1,20,95.0
284,3727.7817836225136,555,1,12,95.0
285,3887.24277053834,602,1,14,65.43952862284583
286,2694.376792087557,333,1,5,95.0
287,4076.6995635986386,610,1,14,95.0
288,4370.274314498904,660,1,15,65.15122639320838
289,3656.254724121105,500,1,10,62.06672862284582
290,3752.73607693673,582,1,14,65.43952862284583
291,3104.891488914493,421,1,8,95.0
292,3401.431077766426,445,1,8,95.0
293,4672.503675594339,708,1,16,95.0
294,3830.127502441413,575,1,13,65.43952862284583
295,3355.0992795562797,492,1,11,95.0
296,2856.7254031372095,339,1,5,95.0
297,3384.0874389171645,465,1,9,95.0
298,3153.290644512185,452,1,10,68.28881239386307
299,3284.8121535110517,471,1,10,95.0
300,3620.571215724951,525,1,11,65.43952862284583
301,3603.126317901619,499,1,10,95.0
302,2813.3875151634284,360,1,6,65.43952862284583
303,3170.837165622716,391,1,7,95.0
304,3069.1922568511977,389,1,7,95.0
305,3225.3428300309247,491,1,11,65.43952862284583
306,4243.047273578654,628,1,14,68.28881239386307
307,4585.290239162447,699,1,16,65.43952862284583
308,3762.912591495524,538,1,11,95.0
309,3996.5027801513747,605,1,14,65.34649841012876
310,3346.425252685555,452,1,9,65.43952862284583
311,4761.632208538061,695,1,16,95.0
312,3410.9479030454186,473,1,9,95.0
313,3195.9944994545062,402,1,7,95.0
314,4023.758825855259,551,1,11,95.0
315,4542.2782250023,712,1,17,65.43952862284583
316,3192.6099202156147,455,1,9,95.0
317,3148.1052123069803,455,1,10,65.43952862284583
318,5242.45048280715,787,1,17,95.0
319,3403.5619108009428,501,1,11,95.0
320,3499.4033653259376,510,1,11,95.0
321,3507.30403818131,523,1,12,95.0
322,3151.811618552211,462,1,10,62.173369961325236
323,4551.745218286517,692,1,16,65.43952862284583
324,3908.257418098457,573,1,13,95.0
325,3926.7317825317464,560,1,12,95.0
326,3397.2498950195372,504,1,11,95.0
327,3183.1048807382626,425,1,8,95.0
328,3368.7074145507877,489,1,11,95.0
329,3537.6115197753957,487,1,10,95.0
330,2714.134293327328,327,1,5,95.0
331,3661.994660301216,484,1,9,95.0
332,3118.786240234375,463,1,10,65.43952862284583
333,4093.846467285161,576,1,13,95.0
334,3180.5759616851883,440,1,9,95.0
335,3796.552365112312,555,1,12,95.0
336,3909.426042480475,539,1,11,95.0
337,3898.165411891943,563,1,12,65.43952862284583
338,3614.4881899643037,526,1,11,95.0
339,4020.560486412053,600,1,13,95.0
340,3490.5247709846544,502,1,11,68.28881239386307
341,3586.827578086861,479,1,9,95.0
342,3829.9423620605507,583,1,13,95.0
343,3153.0680355453537,473,1,10,95.0
344,3970.4759619236074,610,1,14,95.0
345,3878.701854171761,563,1,12,95.0
346,3133.839323115347,440,1,9,65.43952862284583
347,3282.5231278228807,481,1,10,65.17632708121361
348,3421.594742012022,485,1,11,0.0
349,3168.280206756602,476,1,11,95.0
350,3295.914927978519,429,1,8,95.0
351,3025.944652118686,403,1,7,95.0
352,2865.874416418081,374,1,7,65.43952862284583
353,2900.04259222031,361,1,6,95.0
354,4453.656409301768,618,1,14,95.0
355,5075.564671630862,769,1,19,95.0
356,2686.8347216796897,344,1,6,65.43952862284583
357,3067.134633102421,438,1,9,65.05698751305945
358,4568.487548446658,690,1,17,65.43952862284583
359,2740.9105483245858,309,1,4,95.0
360,3469.4603782272397,497,1,11,95.0
361,3507.398231865323,467,1,9,95.0
362,4924.954970097541,770,1,19,65.43952862284583
363,3341.6888349914584,418,1,7,95.0
364,3777.377242736818,536,1,12,95.0
365,2814.703216552735,395,1,8,61.87763072512964
366,3291.574287929543,428,1,8,95.0
367,5280.426752103867,835,1,22,65.43952862284583
368,3655.0367127227805,476,1,9,95.0
369,2873.52366210938,384,1,7,71.09268997870538
370,3089.9577980804506,426,1,8,95.0
371,3618.4813507080166,520,1,12,65.27473777847952
372,4762.611922683726,718,1,18,95.0
373,10271.687669067293,1776,1,50,95.0
374,3134.4798754882813,419,1,8,95.0
375,4166.565367927564,653,1,16,95.0
376,2968.7140703582836,408,1,8,95.0
377,3126.9497219562536,405,1,7,95.0
378,3341.610821990968,436,1,8,95.0
379,3141.7807294464124,407,1,7,95.0
380,2893.2268278122006,350,1,6,95.0
381,3210.5492260742253,376,1,6,95.0
382,2987.193446502692,362,1,6,95.0
383,3229.711782369621,477,1,10,95.0
384,3252.945226440435,472,1,10,65.43952862284583
385,3184.629246330266,370,1,6,0.0
386,3726.7445115280248,554,1,12,95.0
387,3843.603478488927,567,1,12,95.0
388,3091.323039627079,440,1,9,95.0
389,2699.306106815341,347,1,6,65.43952862284583
390,3613.69977416039,533,1,13,65.43952862284583
391,2961.973169822696,399,1,8,95.0
392,2701.8560418701195,297,1,4,95.0
393,3635.140197753915,540,1,13,95.0
394,3532.806125564584,464,1,9,95.0
395,2978.9282584476523,431,1,9,65.43952862284583
396,3914.472989349371,516,1,10,95.0
397,3629.285676193246,495,1,10,95.0
398,3192.5321538543726,447,1,9,95.0
399,3263.4083791732833,495,1,11,65.43952862284583
400,2758.5777747464226,409,1,9,71.11530189471218
401,3014.2036547851635,414,1,8,65.43952862284583
402,4137.77778980255,554,1,12,0.0
403,3213.356164627081,431,1,8,95.0
404,3195.6984865951586,401,1,7,95.0
405,3162.672757949834,463,1,10,95.0
406,3080.2751031303446,413,1,8,68.28881239386307
407,4686.290045328141,644,1,13,95.0
408,3853.5159776973824,586,1,13,95.0
409,3409.4962887191828,438,1,8,65.43952862284583
410,3944.185832519535,539,1,11,70.7815934788998
411,4192.700580482486,566,1,11,95.0
412,2907.2394663810765,355,1,6,68.28881239386307
413,3320.2484563064563,479,1,11,0.0
414,3565.725096564302,556,1,13,65.43952862284583
415,3862.0124341583355,552,1,12,95.0
416,2754.119418191916,330,1,5,95.0
417,3448.872120819101,507,1,11,95.0
418,2969.381369018561,365,1,6,95.0
419,3494.726879787449,460,1,9,65.43952862284583
420,3118.0640102529587,478,1,11,65.43952862284583
421,3044.9349228477554,412,1,8,65.43952862284583
422,4135.031862335211,601,1,13,95.0
423,3749.110147075664,521,1,10,95.0
424,3219.0366015243612,451,1,9,95.0
425,3925.979765014658,591,1,13,65.43952862284583
426,2805.202546501163,375,1,7,68.28881239386307
427,3248.4848895263726,434,1,8,65.43952862284583
428,4017.7229595947297,546,1,11,95.0
429,3164.483859481816,438,1,9,65.43952862284583
430,3716.2802163314886,529,1,11,95.0
431,4364.327814435961,645,1,15,65.43952862284583
432,4215.225745353704,612,1,14,95.0
433,3230.967340087896,420,1,8,65.43952862284583
434,2962.2497558593777,375,1,7,95.0
435,3341.8052636718803,452,1,9,95.0
436,3436.4070401001054,511,1,12,95.0
