episode,reward,steps,laps,collisions,speed
56,3585.995212078107,920,1,12,41.57969863207646
57,4906.883253097533,1605,1,22,60.262602550914444
58,3384.89841087343,1076,1,11,77.25601045964818
59,4670.928757963182,1552,1,21,61.55286916535197
60,6096.8606185912795,2025,1,26,49.82371206503545
61,4475.604871387493,1244,1,16,69.96859261126168
62,5057.319987754828,1751,1,26,54.947258864673906
63,3204.336901817329,857,1,10,65.90770531243572
64,3260.442840938581,861,1,10,28.125598062896294
65,3345.135739059461,1004,1,11,45.247912376487555
66,3596.046949405677,1139,1,14,40.66768022307884
67,4295.149277496348,1210,1,15,28.73113818867859
68,3861.4538150501407,1129,1,14,32.707813871482145
69,3513.658366432205,1123,1,15,32.012200122719356
70,2930.991248779301,731,1,8,45.87930197514311
71,4349.732505664845,1407,1,19,22.38654651109437
72,5234.296994628902,1643,1,23,57.92443653047508
73,3433.3878851318495,873,1,11,72.6248391830942
74,3458.793088970201,1152,1,15,29.678412566535506
75,3587.150895385758,991,1,12,32.58598725663846
76,4124.7857656479,1200,1,15,69.5547511326675
77,3580.395772018439,983,1,12,35.90226098820765
78,3519.9208767128084,884,1,12,36.529479150448836
79,3796.519996447574,1009,1,12,59.062962681306765
80,3065.979060783392,728,1,8,61.823524900902974
81,3904.1253179931755,913,1,11,55.31668378077627
82,3934.846131629957,939,1,12,66.53767795736631
83,3288.283145504008,766,1,8,68.76081310589709
84,3014.893994140634,655,1,8,59.99471441769154
85,3044.3362013244723,688,1,8,58.449073474669426
86,4065.7726807022254,1058,1,11,53.03479765642722
87,2821.6765426254324,717,1,9,0.0
88,3245.6922532081744,985,1,11,32.560400241947576
89,3893.1667131424033,975,1,10,63.386727453538285
90,4089.091553249371,1223,1,15,24.62611650795184
91,5195.705311279281,1801,1,27,38.1059379423049
92,3155.5787268829404,889,1,10,75.0211299698805
93,4369.018863525399,1228,1,17,36.99360062983637
94,3970.788105468765,1051,1,16,22.631817496858947
95,4526.401163940439,1321,1,20,38.680248074631905
96,3302.0219721985004,959,1,14,49.82981194095673
97,3763.716095638292,1080,1,13,73.95192959644605
98,3481.4402476883056,857,1,12,39.47567495368446
