episode,reward,steps,laps,collisions,speed
83,3520.193256835949,906,1,9,49.44168533507902
84,4965.52654951572,1517,1,21,64.16631852181834
85,4457.94414549709,1318,1,19,49.89554613947353
86,5365.593479804986,1751,1,25,75.22680972800423
87,4918.110023450851,1580,1,21,29.193536404198575
88,4645.2319904899705,1387,1,19,54.25494934365504
89,3523.318392066958,901,1,10,32.116982101246144
90,3476.445788574226,910,1,9,64.94387336387534
91,3554.687913894668,965,1,12,58.7744942108565
92,4367.41331142427,1253,1,17,52.89257500918855
93,6550.158948554923,2288,1,32,52.00801763494381
94,4364.445843670385,1402,1,19,26.20263978887474
95,3740.463492660532,1171,1,15,48.74253616069919
96,5497.2013476562215,2009,1,31,50.400142103506525
97,3181.581616220481,857,1,9,42.25012428308841
98,5133.055184936507,1675,1,23,0.0
99,6045.311420288052,1943,1,27,45.29666389276561
100,3050.1753926658703,838,1,10,48.0978426023853
101,5063.957783908843,1659,1,24,50.88336151638524
102,2883.218717041022,643,1,7,0.0
103,7147.215005493082,2500,0,37,34.96250564593162
104,5697.0852346229285,1916,1,29,20.52189272163315
105,4883.749589056961,1549,1,22,42.87892611523875
106,4068.210744056715,1217,1,15,40.96496683874919
107,4917.708495788558,1561,1,21,47.80041492544778
108,4509.045287532816,1364,1,19,27.910809617659886
109,4596.941030273442,1417,1,18,32.358030745383516
110,2911.1862622070407,636,1,6,57.82080126353113
111,5930.282507339089,1840,1,23,51.33482265900674
112,4766.872714118966,1491,1,20,59.01135324511493
113,5856.698495426142,1933,1,27,29.46744367462257
114,3968.5382365799082,1057,1,14,62.95759330115598
115,3179.203485832222,797,1,9,50.99946595232973
116,5546.854691028586,1815,1,23,24.034005088106653
117,3080.1143359929456,885,1,10,34.34148559272196
118,5211.550696434961,1613,1,21,70.44024195914872
119,3145.6494923782466,954,1,11,48.93360880505192
120,5967.833628845176,1925,1,25,33.99765115233179
121,4282.665689008246,1206,1,15,32.87305212288463
122,3556.9914541053868,1001,1,12,69.3196646980317
123,3569.0137969589314,1137,1,15,59.962744843938786
124,4923.627195854185,1394,1,18,62.31046065736008
125,4820.000947875976,1604,1,22,49.05063651413845
126,3595.581656742108,965,1,12,63.70894427312821
127,3735.7502874755996,1063,1,12,53.189439895209645
128,3506.888123683941,1071,1,12,60.4953283018905
129,3598.598963089007,999,1,12,37.70668393106499
130,3546.5468069076637,820,1,8,53.77553548529583
131,3048.6002818679904,712,1,7,88.3689472
132,3652.0517673874056,1108,1,14,67.88614529534038
133,3337.0851460456934,810,1,8,39.256018144839594
134,5315.962701683039,1511,1,19,45.04870785022854
135,3471.7120133972285,887,1,11,58.26324546227817
136,3781.8119380188095,1049,1,13,54.61692766318112
137,3453.010337982191,982,1,13,37.785009976335196
138,4104.9902131271565,1059,1,12,58.22817737862554
139,3494.8803670501857,852,1,9,54.57243890430056
140,4069.845918827074,1161,1,15,54.42669111710329
141,3505.4422042465276,817,1,9,60.23779047049896
142,3922.4921429634283,1170,1,14,52.266260852294415
143,4398.096062469494,1180,1,14,48.98157752026798
144,5036.913694458003,1531,1,21,43.21312396390155
145,3850.7407250976644,1007,1,12,52.67262850923748
146,3592.3942507553184,946,1,11,66.96477748028119
147,4006.35651580812,1094,1,14,0.0
148,4218.294983215342,1114,1,14,44.11116162565243
149,4029.137984066027,1101,1,15,53.568047889759384
150,3271.5076104736404,882,1,11,48.3769784871175
151,3024.2021844387123,735,1,7,46.42209428522539
152,3638.0298789596695,827,1,8,61.06427737751315
153,4931.045515098574,1348,1,18,50.51333444769393
154,3209.6799194336018,720,1,7,39.547517179095095
155,3689.313440551766,878,1,10,42.64951208519174
156,3556.9512300491465,975,1,11,36.174558957584246
157,4454.78994657517,1279,1,17,56.69393109356431
158,2979.7092126750986,658,1,6,55.58424386513345
159,4525.681596441284,1399,1,18,54.73146584259231
160,4582.958692626957,1326,1,20,41.454920436965885
161,3222.543585205082,855,1,11,64.92965184442737
162,2928.621211738597,719,1,8,67.70038733514171
163,4228.789563941974,1215,1,16,48.99028154863907
164,5138.845388870233,1461,1,18,65.63386800791423
165,3807.921274662027,1020,1,11,53.03539931915856
166,4819.350039463049,1371,1,20,60.17241504365964
167,4127.542293090836,1199,1,14,66.86940594219664
168,5172.358272857645,1659,1,23,61.86862178609327
169,3742.381185398115,1027,1,14,57.84927494704405
170,4700.25676002503,1415,1,17,57.844050975005615
171,3312.5457814025904,831,1,7,55.67606340944681
172,4224.123026733416,1106,1,14,54.263171056761294
173,3357.0317552375896,926,1,10,54.82846295484973
174,5308.348823041915,1589,1,23,31.51532752934715
175,4394.547821559927,1393,1,21,62.474805696826984
176,3373.5566864395255,793,1,7,72.91150237595684
177,3845.7528413868076,957,1,11,49.4068589504601
178,4737.128181571971,1429,1,19,51.33739291805158
179,4150.37799264909,1049,1,14,63.182443917937526
180,2723.7270662498545,644,1,5,68.29837070716944
181,5208.6916609525715,1505,1,22,71.43662813713244
182,3708.652385361211,999,1,11,49.39345035251658
183,3263.6274910736192,741,1,7,59.692712386270465
184,3575.282632865917,1068,1,14,32.7314395351458
185,3641.53742101194,1100,1,12,52.30490258818437
186,3354.6456567382907,817,1,9,74.14976284480078
187,4440.587956418997,1293,1,16,41.2418935857058
188,3911.063850212111,1020,1,11,75.40566576589721
189,2762.288749208453,698,1,7,45.23745819788692
190,3658.038045501721,1010,1,9,71.35708656353229
191,3538.355764656076,1026,1,12,60.50304609349255
192,3634.409183959974,901,1,11,46.470321636069094
193,3849.2969046783537,1044,1,12,62.59232680444821
194,4152.630489482901,1288,1,18,70.7759608386932
195,5835.42129957197,1839,1,26,58.113074428555
196,3514.779564476021,895,1,9,42.005542313119655
197,3609.7498303604275,859,1,9,56.95195308624481
198,4077.021166162505,1091,1,14,68.48995630932448
199,3555.3116864395256,1024,1,13,68.17231113876323
200,3540.1855760192975,857,1,10,59.770608981629856
201,3934.668068885822,1115,1,13,65.59351387795519
202,3548.9986206627027,1042,1,13,60.470589002519866
203,3149.6252676963936,805,1,11,58.64963272379086
204,4618.882978134161,1466,1,18,54.1128884297936
205,3987.5269607257997,1194,1,15,36.01514659083524
206,3011.788925971991,698,1,6,68.21792279822455
207,3447.5560731744904,1027,1,13,55.45757598292585
208,5222.213588409411,1621,1,21,50.44012863881148
209,4663.053693847659,1371,1,14,35.765273605859505
210,3127.353065795909,814,1,9,43.35808995806014
211,3659.197527351392,923,1,12,56.50261380109982
212,5079.60772094726,1480,1,18,39.43907260234783
213,4223.409273910535,1195,1,12,59.23971350807133
214,2975.310576934821,774,1,9,0.0
215,3545.2817844772408,878,1,9,63.64338703074837
216,3106.8355399894817,751,1,8,58.04018293193897
217,3712.606195850387,899,1,10,46.52302853163844
218,3385.916754646307,814,1,10,64.5904328280203
219,3561.6767014312873,951,1,12,50.369092649016984
220,3005.7714476394735,761,1,7,72.12656781092508
221,3662.048843269357,871,1,9,49.63053558227172
222,4120.902215046601,1078,1,14,46.298130364383326
223,3196.5269905328864,785,1,9,27.621070030423173
224,3231.9832299041905,866,1,10,39.62184572384093
225,3426.5261357498284,864,1,10,65.31479754486952
226,3214.0311694336033,854,1,8,36.72032768863292
227,3350.02123767854,804,1,9,62.45786555800652
